"IP","MAC","Tipo","Fuente","Estado","AccionSugerida"
"192.168.100.133","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.134","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.135","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.136","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.137","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.138","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.139","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.14","dc-56-7b-07-09-3d","DISPOSITIVO_RED_REVISAR","ARP+Get-NetNeighbor","din+Stale","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.140","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.141","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.142","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.143","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.144","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.145","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.146","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.147","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.148","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.149","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.15","72-d8-fa-a0-f2-1a","DISPOSITIVO_RED_REVISAR","ARP+Get-NetNeighbor","din+Stale","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.150","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.151","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.152","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.153","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
